operated_at,geohash,avg_lightlux,latitude,longitude,si,gungu,dong,weight
2024-06-22 00:00:00,wykh8rz7,41.5,35.99,129.396,경상북도,포항시 남구,인덕동,0.002692416360584354
2024-06-25 05:00:00,wykh8xcf,41.0,35.99,129.4,경상북도,포항시 남구,인덕동,0.0026591766524289915
2024-06-25 05:00:00,wy7uy8p9,41.0,35.991,129.32,경상북도,포항시 남구,연일읍,0.0026591766524289915
2024-06-22 00:00:00,wykh8rzk,41.5625,35.991,129.396,경상북도,포항시 남구,인덕동,0.0026965713241037742
2024-06-08 05:00:00,wykhb840,40.0,35.991,129.4,경상북도,포항시 남구,동촌동,0.002592697236118267
2024-06-25 05:00:00,wy7uy8p6,41.0,35.992,129.319,경상북도,포항시 남구,연일읍,0.0026591766524289915
2024-06-29 05:00:00,wykhb80r,40.0,35.992,129.397,경상북도,포항시 남구,동촌동,0.002592697236118267
2024-06-25 05:00:00,wy7uy8qh,39.0,35.993,129.317,경상북도,포항시 남구,연일읍,0.002526217819807542
2024-06-25 05:00:00,wy7uy8qd,40.0,35.993,129.318,경상북도,포항시 남구,연일읍,0.002592697236118267
2024-06-25 05:00:00,wy7uy8qb,41.0,35.993,129.319,경상북도,포항시 남구,연일읍,0.0026591766524289915
2024-06-03 22:00:00,wy7uz2r5,41.75,35.993,129.352,경상북도,포항시 남구,연일읍,0.0027090362146620353
2024-06-19 00:00:00,wykhb2qd,40.0,35.993,129.395,경상북도,포항시 남구,동촌동,0.002592697236118267
2024-06-25 05:00:00,wykhb862,41.0,35.993,129.4,경상북도,포항시 남구,동촌동,0.0026591766524289915
2024-06-25 05:00:00,wy7uy8t6,41.0,35.994,129.316,경상북도,포항시 남구,연일읍,0.0026591766524289915
2024-06-25 05:00:00,wy7uy8qj,41.0,35.994,129.317,경상북도,포항시 남구,연일읍,0.0026591766524289915
2024-06-08 01:00:00,wykhb8t4,41.333333333333336,35.994,129.404,경상북도,포항시 남구,청림동,0.0026813364578659
2024-06-25 05:00:00,wy7uy8t5,39.0,35.995,129.316,경상북도,포항시 남구,연일읍,0.002526217819807542
2024-06-15 23:00:00,wy7uz2xq,41.75,35.995,129.352,경상북도,포항시 남구,연일읍,0.0027090362146620353
2024-06-27 23:00:00,wy7uz887,40.88095238095238,35.995,129.354,경상북도,포항시 남구,연일읍,0.0026512624362015243
2024-06-25 05:00:00,wykhb2sw,40.0,35.995,129.392,경상북도,포항시 남구,동촌동,0.002592697236118267
2024-06-25 05:00:00,wy7uy8gg,40.0,35.996,129.314,경상북도,포항시 남구,연일읍,0.002592697236118267
2024-06-04 21:00:00,wykhb2u6,39.5,35.996,129.392,경상북도,포항시 남구,동촌동,0.0025594575279629045
